text,label,sentiment,clean_text
"Three zany couples, all SIX OF A KIND, become entangled in a madcap search for stolen bank loot.<br /><br />This is a lively, hilarious comedy, with the six stars - Charlie Ruggles & Mary Boland, W. C. Fields & Alison Skipworth, George Burns & Gracie Allen - all heartily engaged in doing what they did best: getting laughs.<br /><br />Ruggles & Boland make another of their film appearances as husband & wife - this time rather more amorous than usual. They were a perfect team - she the strident lioness, he the nervous rabbit - and they dominate most of the screen time here. From beginning to end, they are a delight.<br /><br />Burns & Allen continue the patter they originated in Vaudeville, perfected on radio & would eventually take to television, with George the perpetual straight man & Gracie the eternal fool. At times in the film she tends to go a bit over the top, but it's difficult to dislike her. Her heart was obviously made of solid gold.<br /><br />While Skipworth is given rather short shrift - only fragments of her formidable personality flash through - Fields is in his element as the disreputable sheriff of Nuggetville, Nevada. Whether explaining how he got the nickname Honest John' or skulking about at night looking for the missing moola, he is never less than wonderful. Best of all, he gets to perform his entire classic pool routine, preserving it forever for a grateful posterity. Finally, he executes the near miraculous - he gets Gracie to shut up.<br /><br />Paramount was so pleased with the success of SIX OF A KIND that they wanted to hurry the principle players into another comedy. Only Fields demurred. He felt he had now arrived at the point where he no longer needed to share a movie with other celebrity comics. The Studio finally agreed and began preparation of Fields' first solo starring feature, YOU'RE TELLING ME (1934).",1,positive,three zany couple six kind become entangled madcap search stolen bank lootthis lively hilarious comedy six star charlie ruggles mary boland field alison skipworth george burn gracie allen heartily engaged best getting laughsruggles boland make another film appearance husband wife time rather amorous usual perfect team strident lioness nervous rabbit dominate screen time beginning end delightburns allen continue patter originated vaudeville perfected radio would eventually take television george perpetual straight man gracie eternal fool time film tends bit top difficult dislike heart obviously made solid goldwhile skipworth given rather short shrift fragment formidable personality flash field element disreputable sheriff nuggetville nevada whether explaining got nickname honest john skulking night looking missing moola never less wonderful best get perform entire classic pool routine preserving forever grateful posterity finally executes near miraculous get gracie shut upparamount pleased success six kind wanted hurry principle player another comedy field demurred felt arrived point longer needed share movie celebrity comic studio finally agreed began preparation field first solo starring feature youre telling
"Once again, we are fortunate to see a gorgeous opening scene where the artists' work has been fully restored and we see this old-time grocery store on a street corner with the snow gently falling. Inside are the rich colors of all the merchandise, from produce to canned and boxed goods to medicine to candy, etc.<br /><br />In essence, this is a story of those goods ""coming to life,"" such as the animals on the labels of items, or a pie, or even a pack of cigarettes.<br /><br />The whole ""show"" is narrated by ""Jack Bunny,"" a Jack Benny impersonator, with music from conductor Leopold Stokowski, who was in so many Looney Tunes animated shorts I have lost count. A lot of the humor is topical, so it pays to know who ""Little Egypt"" and other characters. The Busby Berkeley-type ""aqua"" number with bathing suited-sardines coming out of the can, and the tomato can-can dance were both clever! <br /><br />All of the above, and more, was in the first half of this slightly longer-than-normal length cartoon. The second half was about a King Kong-type which escapes from the ""Animal Crackers"" box and terrorizes everyone. That part was not much, and ended on a somewhat stupid note. So..... an ""A"" for the first half, a ""D"" for the second, making it about a C-plus or B-minus overall.",1,positive,fortunate see gorgeous opening scene artist work fully restored see oldtime grocery store street corner snow gently falling inside rich color merchandise produce canned boxed good medicine candy etcin essence story good coming life animal label item pie even pack cigarettesthe whole show narrated jack bunny jack benny impersonator music conductor leopold stokowski many looney tune animated short lost count lot humor topical pay know little egypt character busby berkeleytype aqua number bathing suitedsardines coming tomato cancan dance clever first half slightly longerthannormal length cartoon second half king kongtype escape animal cracker box terrorizes everyone part much ended somewhat stupid note first half second making cplus bminus overall
"Good performances can't save this terrible script, larded with every cliche in the chick-flick book. Both main characters are deeply unsympathetic, and the scene where Laura Linney's character reminisces about sex with her dead husband in front of her teenage son -- which I think is supposed to be poignant -- is just horrifying.",0,negative,good performance cant save terrible script larded every cliche chickflick book main character deeply unsympathetic scene laura linneys character reminisces sex dead husband front teenage son think supposed poignant horrifying
"If you see this turkey listed in your TV guide, AVOID IT LIKE THE PLAGUE!!!!!!!!!!!!!!!!<br /><br />A steaming great pile of fetid dingoes kidneys doesn't begin to describe how bad this movie is! There is only one funny scene (the memory eraser scene) but even that rates only .001 on the laughometer (out of 1000). Whoever wrote this turkey should be banned from writing another movie for their entire lives.",0,negative,see turkey listed guide avoid like plaguea steaming great pile fetid dingo kidney doesnt begin describe bad movie one funny scene memory eraser scene even rate laughometer whoever wrote turkey banned writing another movie entire life
"Best Stephen King film alongside IT, though this one is more fun than scary. <br /><br />This one's got it all: <br /><br />-a great cast with a Alice Krige and Brian Krause and a fun cameo from King himself;<br /><br />-well dosed horror in an amusing storyline;<br /><br />-great use of music, Santo & Johnny's ""Sleepwalk"" in particular;<br /><br />-likeable characters in a typical King setting: middle of nowhere village;<br /><br />-lots of humor. You can't really get good scares here because it's too much fun and over the top;<br /><br />-old but really nice makeup effects like they don't make anymore!<br /><br />A 4,5 rating: I don't get it really. When was the last time a horror film was as much fun as this one?",1,positive,best stephen king film alongside though one fun scary one got great cast alice krige brian krause fun cameo king himselfwell dosed horror amusing storylinegreat use music santo johnny sleepwalk particularlikeable character typical king setting middle nowhere villagelots humor cant really get good scare much fun topold really nice makeup effect like dont make anymorea rating dont get really last time horror film much fun one
"I saw this as a kid, before it had been yanked from the rotation, and even then it left a bad taste in my mouth. There were some competently worked out gags, but making slapstick villains out of American citizens who'd been interned in camps strictly due to their race was amazingly tasteless. <br /><br />Moe himself might have wanted this one buried. He was a liberal guy. In his autobiography he told of visiting a town in the segregated South, where he saw a black man get off the sidewalk to avoid passing too close. Moe stepped into the street to show it wasn't a problem, and the man then got back on the curb. Then off again. Finally, the man told Moe nervously that if Moe didn't stop trying to share the sidewalk with him, he might get them both lynched.<br /><br />Another thing: There are exploding ostrich eggs but no oxen in the film, so the title should actually be (if anyone cares) ""The Yolk's on Me.""",0,negative,saw kid yanked rotation even left bad taste mouth competently worked gag making slapstick villain american citizen whod interned camp strictly due race amazingly tasteless moe might wanted one buried liberal guy autobiography told visiting town segregated south saw black man get sidewalk avoid passing close moe stepped street show wasnt problem man got back curb finally man told moe nervously moe didnt stop trying share sidewalk might get lynchedanother thing exploding ostrich egg ox film title actually anyone care yolk
"Well, this is probably one of the best movies I've seen and I love it so much that I've memorized most of the script (especially the scene in the storage unit when Jerry Lee breaks wind) and even with the script in my head I still like to watch it for Jerry Lee, that German Shepherd is hysterical and really is put to the test to see who's smarter. The tag line holds true as well. Not to mention the acting is great, though Christine Tucci sounds different in a whisper (Check filmography under CSI if you don't know what I mean). It's too bad that this movie only contained the single issue Dooley and Jerry Lee had to work with, it would have been pretty cool to see the tricks that Zeus and Welles had up their sleeve.",1,positive,well probably one best movie ive seen love much ive memorized script especially scene storage unit jerry lee break wind even script head still like watch jerry lee german shepherd hysterical really put test see who smarter tag line hold true well mention acting great though christine tucci sound different whisper check filmography csi dont know mean bad movie contained single issue dooley jerry lee work would pretty cool see trick zeus welles sleeve
"Well well, at last a view of this underrated flick. But you can't find a good copy of it, terrible copy full with green drops, the editing isn't syncronized, the sound do has sometimes that terrible hiss and sometimes you even can hear the camera recording. Overall it's too dark, a waist of time you should say but it isn't. It's a bit slow, the first half part of the movie it's all talking and making love to each other. It is even still weird that the girls in movies from the 60's never wear any bra's. When they enter the sleeping room it's full glory. Anyway, banned in the UK since 84 and still on the video nasties list. The reason is simple, it's gory for their time being. It really has some nasty dismemberement's and it's creepy in some way due the fact that it is filmed handycam way. So every shot the image is moving, things they do these days with the steadycam. The Ghastly Ones could have been better if the quality of the film was better but still better then other films of the time like Schoolgirls In Chains.",0,negative,well well last view underrated flick cant find good copy terrible copy full green drop editing isnt syncronized sound sometimes terrible hiss sometimes even hear camera recording overall dark waist time say isnt bit slow first half part movie talking making love even still weird girl movie never wear bra enter sleeping room full glory anyway banned since still video nasties list reason simple gory time really nasty dismemberements creepy way due fact filmed handycam way every shot image moving thing day steadycam ghastly one could better quality film better still better film time like schoolgirl chain
"`Stanley and Iris' is a heart warming film about two people who find each other and help one another overcome their problems in life. Stanley's life is difficult, because he never learned to read or write. Iris is a widower with two teenage children working in a bakery where she meets Stanley. She decides to teach Stanley how to read at her home in her spare time. Over time they become romantically involved. After Stanley learns to read, he goes off to a good job in Chicago, only to return to Iris and ask her to marry him.<br /><br />It's a really good film without nudity, violence, or profanity, that which is rare in today's films. A good film all round. <br /><br />",1,positive,stanley iris heart warming film two people find help one another overcome problem life stanley life difficult never learned read write iris widower two teenage child working bakery meet stanley decides teach stanley read home spare time time become romantically involved stanley learns read go good job chicago return iris ask marry himits really good film without nudity violence profanity rare today film good film round
"I had the greatest enthusiasm going in to the advance screening for this movie. After all, this is one of the oldest and most complex tales known to mankind, and it was one of the first epic tales I read as a kid (even before Tolkien). I must say that IT WAS A HUGE DISAPPOINTMENT. They completely made the plot into a joke and turned the thing into one long soap opera. The elements that WERE faithful to the plot were sprinkled throughout in such a haphazard manner that the audience was laughing at many times at the silly script that just paid lip service to this battle of all battles. It was a huge disappointment to see a complex character like Achilles (who has a strange combination of nearly Matrix-like powers, utter ruthlessness and male lovers in the original poem) turn to ""Fabio on the beach"" in the guise of Pitt (who with a good script and more effort could have turned this into the most complex and original warrior figure Hollywood has ever produced). The actors were actually decent, trying to make the best of a ridiculous script. It was actually a waste of so much talent (Peter O'Toole stole the show, and Orlando Bloom and Sean Bean were pathetic). Compare it to LOTR or Gladiator and it doesn't even hold a candle to them. Plenty of hunks for the ladies to goggle over but not enough battle scenes for a movie that is about one long battle and siege. I wouldn't recommend that anyone pay to see this story dragged through the dirt like one of the characters was (at least they got that part right).",0,negative,greatest enthusiasm going advance screening movie one oldest complex tale known mankind one first epic tale read kid even tolkien must say huge disappointment completely made plot joke turned thing one long soap opera element faithful plot sprinkled throughout haphazard manner audience laughing many time silly script paid lip service battle battle huge disappointment see complex character like achilles strange combination nearly matrixlike power utter ruthlessness male lover original poem turn fabio beach guise pitt good script effort could turned complex original warrior figure hollywood ever produced actor actually decent trying make best ridiculous script actually waste much talent peter otoole stole show orlando bloom sean bean pathetic compare lotr gladiator doesnt even hold candle plenty hunk lady goggle enough battle scene movie one long battle siege wouldnt recommend anyone pay see story dragged dirt like one character least got part right
"This film is basically two hours of Dafoe's character drinking himself - nearly literally - to death. The only surprise in this film is that you didn't have enough clues or character knowledge to be surprised. It was just a grim, sad waste of time.<br /><br />Willem Dafoe is excellent actor. Peter Stormare is an excellent actor. But this film just sucked. Slow doesn't make the movie bad, it was just bad. The sketchy plot mixed with artistic ramblings of anamorphic detail aren't cohesively drawn together in a meaningful way for a plot except to highlight some gore which is illustrated from several perspectives, finally at the end. I really appreciate the artistic vision, but as entertainment, it put me to sleep. (Seriously, I fell asleep and had to re-watch the film - which was even more disappointing.)<br /><br />I generally don't like to make negative comments or reviews on the works of others, even when they suck, but this film warranted one. It's just too bad that these great actors were shamed with this end result.",0,negative,film basically two hour dafoes character drinking nearly literally death surprise film didnt enough clue character knowledge surprised grim sad waste timewillem dafoe excellent actor peter stormare excellent actor film sucked slow doesnt make movie bad bad sketchy plot mixed artistic ramblings anamorphic detail arent cohesively drawn together meaningful way plot except highlight gore illustrated several perspective finally end really appreciate artistic vision entertainment put sleep seriously fell asleep rewatch film even disappointingi generally dont like make negative comment review work others even suck film warranted one bad great actor shamed end result
"In this movie the year 2022 looks much like the seventies. This is amusing at first, but soon the viewer perceives how very different that decadent futuristic world is despite the appearances, how many things that we take for granted could become unavailable.<br /><br />Characters often interact in a peculiar way, with no tact or manners or respect. I believe this is intentional, not bad acting. After all, who witnessed the social changes in the 60s and 70s may well assume that by 2022 an overpopulated city's inhabitants behave like that.<br /><br />I didn't like most of the action scenes, apart the death of the priest: too cheap even for the seventies. The plot isn't too polished. But the great scenes and ideas - like the death of Sol, the way rioters and dead bodies are dealt with, the ""furniture"" - outweigh the shortcomings of this film.<br /><br />8 out of 10.",1,positive,movie year look much like seventy amusing first soon viewer perceives different decadent futuristic world despite appearance many thing take granted could become unavailablecharacters often interact peculiar way tact manner respect believe intentional bad acting witnessed social change may well assume overpopulated city inhabitant behave like thati didnt like action scene apart death priest cheap even seventy plot isnt polished great scene idea like death sol way rioter dead body dealt furniture outweigh shortcoming film
"This is not Michael Madsen's fault, he was hardly in it. This movie was just awful. If you want to laugh and be bored, go ahead and watch this movie. Words cannot describe how idiotic it is. Sorry Michael. The cinematography was dark. All the other actors are unknowns. When watching it, it feels like a soft porn, but with no nudity or heated scenes. This movie had sexual overtones, since it is about a underground S & M killer. The acting was bad, except Michael Madsen's parts. He looked like he wanted to laugh. I hope he got paid well for this lousy movie. It is something I would not be proud of. It is not even a B movie for cable, it is more like a F and it should never be shown, ever.",0,negative,michael madsens fault hardly movie awful want laugh bored ahead watch movie word describe idiotic sorry michael cinematography dark actor unknown watching feel like soft porn nudity heated scene movie sexual overtone since underground killer acting bad except michael madsens part looked like wanted laugh hope got paid well lousy movie something would proud even movie cable like never shown ever
"I wasn't sure when I heard about this coming out. I was thinking how dumb is Disney getting. I was wrong. I found it to be very good. I mean it's not The Lion King but it's cool to see another side from a certain point. It was very funny. Also it wasn't one of those corny disney sequels were the animation sucks, it was just like The Lion King animation. The only thing that eritated me was the whole movie theater thing through out the movie. Not to give anything way but you'll know what I am talking about. I also fun that it was cool to have most of the cast from the original to return. It was a very good movie over all.",1,positive,wasnt sure heard coming thinking dumb disney getting wrong found good mean lion king cool see another side certain point funny also wasnt one corny disney sequel animation suck like lion king animation thing eritated whole movie theater thing movie give anything way youll know talking also fun cool cast original return good movie
"Far richer in texture and character than even the classics from the 30's and 50's. George C. Scott was born to be Scrooge, just as he was born to be Patton. Mr. Scott will be known as one of the greatest actors of the 20th century. The character of Scrooge as played by Mr. Scott seemed to jump off the screen. Scott as Scrooge brought an richer, more robust, yet a more deeply moving Scrooge to the screen than any of his predecessors in the role of the meanest man in 18th century London. Mr. Scott seemed to bring Scrooge to a more personal, understandable yet highly conflicted level; his role was acted with the great authority Scott always bring to the screen: yet his usual bellicose voice would sometimes be brought to a whisper, almost as a soliloquy, as he would berate the Christmas holiday in one breath, yet reveal his own human frailty in his next line. He could portray the sour and crusty Scrooge, and a misunderstood, sympathetic Scrooge all in the same scene.<br /><br />Truly a remarkable performance by a giant of his generation.",1,positive,far richer texture character even classic george scott born scrooge born patton scott known one greatest actor century character scrooge played scott seemed jump screen scott scrooge brought richer robust yet deeply moving scrooge screen predecessor role meanest man century london scott seemed bring scrooge personal understandable yet highly conflicted level role acted great authority scott always bring screen yet usual bellicose voice would sometimes brought whisper almost soliloquy would berate christmas holiday one breath yet reveal human frailty next line could portray sour crusty scrooge misunderstood sympathetic scrooge scenetruly remarkable performance giant generation
"It seems that Dee Snyder ran out of ideas halfway through the script. The second half of the movie is basically just a rehash of the first, which makes the film very boring. To sum up: Cop's daughter is suckered into party via chatroom where she is sexually molested/tortured by psychopath (played by Snider). Cop rescues her, psychopath is put in therapy/jail. Psychopath is released four years later and the whole thing is played out AGAIN. Within all this are many unexplained plot elements: Why was ""Captain Howdy"" psycho in the first place? What's with the one-time personality detour to bible-thumper? How does he kidnap all the adults and manage to sew their mouths shut without a struggle? And perhaps the biggest unsolved mystery of all... how does a 6'2"" man with pink hair hide himself completely behind a 5'6"" average build woman? These are just some of the questions I had watching this film.<br /><br />It seems that Snyder was trying to make some kind of commentary on a) the ""dangers"" of online chatrooms, b) the hypocrisy of Christian sexual mores, and c) the effect our twisted puritanical society has on us as individuals. If that is so, he failed. The movie is just too poorly done to entertain, never mind convey social messages. The torture scenes are stupid and boring, bordering on silly (especially when Snyder goes into one of his ""pain and death"" monologues), and everything else is just plain dumb. The ""call tracing"" scene is really lame... when are the cops gonna get caller ID and *69? The young partner of the main cop character is particularly awful... he shouldn't be working as an actor, basically. And the audio in the final showdown scene is really poor. I guess they couldn't afford two boom mikes?<br /><br />The rest of the acting is not awful but it's not good either. The cop is pretty one note, and his detached quality is not quite believable. Dee Snyder is actually not too bad, but he snarls and sneers way too much. Robert Englund (who deserves way better) puts in a somewhat amusing performance of a hypocritical redneck. If you're a big Robert Englund fan the movie is probably worth seeing just for him. Everyone else is forgettable.<br /><br />In conclusion, we've seen all these plot elements done before and done better, in films like SILENCE OF THE LAMBS, HELLRAISER, and TEXAS CHAINSAW MASSACRE. I suggest you rent one of those instead of watching this turkey. 3/10.<br /><br />",0,negative,seems dee snyder ran idea halfway script second half movie basically rehash first make film boring sum cop daughter suckered party via chatroom sexually molestedtortured psychopath played snider cop rescue psychopath put therapyjail psychopath released four year later whole thing played within many unexplained plot element captain howdy psycho first place whats onetime personality detour biblethumper kidnap adult manage sew mouth shut without struggle perhaps biggest unsolved mystery man pink hair hide completely behind average build woman question watching filmit seems snyder trying make kind commentary danger online chatroom hypocrisy christian sexual more effect twisted puritanical society individual failed movie poorly done entertain never mind convey social message torture scene stupid boring bordering silly especially snyder go one pain death monologue everything else plain dumb call tracing scene really lame cop gon get caller young partner main cop character particularly awful shouldnt working actor basically audio final showdown scene really poor guess couldnt afford two boom mikesthe rest acting awful good either cop pretty one note detached quality quite believable dee snyder actually bad snarl sneer way much robert englund deserves way better put somewhat amusing performance hypocritical redneck youre big robert englund fan movie probably worth seeing everyone else forgettablein conclusion weve seen plot element done done better film like silence lamb hellraiser texas chainsaw massacre suggest rent one instead watching turkey
"If you value your freedom!<br /><br />I first got seriously interested in The Branch Davidian debacle after reading an article in UK journal ""The Fortean Times."" Wanting to learn more, I rented this documentary and after watching it, I was stunned at what I saw. This film peaked my interest in the subject and I have read several books on the subject since then. This film is a must see for people who only know the facts as reported in the so called ""mainstream"" media. The baldfaced lies, double talk, and contradictory statements made by officials and politicians shown in this film will make you think twice about calling people who question the governments actions in this fiasco ""nuts"" ""loonies"" and ""kooks."" <br /><br />Whats scary is that I know some people who consider themselves open minded ""intellectuals"" and freedom loving ""liberals"" who are still convinced that the government did the right thing at Waco and refuse to watch this film or read any of the books on the subject. They continue to insist its not worth their time because its all propaganda from gun loving, Clinton hating, religious fanatic,right wing anarchist nuts. One publication from an organization comprised of many so called ""great minds"" that claims to be dedicated to promoting ""reason"",""common sense"" and ""rationalism"" condemned the film claiming it would poison peoples minds and strongly suggested this film should be suppressed. They even hinted the Davidians had it coming. I won't mention its name since I'm a coward. If you are one of those reading this (of course you probably would not be reading this anyway), I can only say its a shame you won't open your mind.",1,positive,value freedomi first got seriously interested branch davidian debacle reading article journal fortean time wanting learn rented documentary watching stunned saw film peaked interest subject read several book subject since film must see people know fact reported called mainstream medium baldfaced lie double talk contradictory statement made official politician shown film make think twice calling people question government action fiasco nut loony kook whats scary know people consider open minded intellectual freedom loving liberal still convinced government right thing waco refuse watch film read book subject continue insist worth time propaganda gun loving clinton hating religious fanaticright wing anarchist nut one publication organization comprised many called great mind claim dedicated promoting reasoncommon sense rationalism condemned film claiming would poison people mind strongly suggested film suppressed even hinted davidians coming wont mention name since coward one reading course probably would reading anyway say shame wont open mind
